City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
334,mayo,90,CA,1577132792,75,63.59,-135.9,-16.6,2.24
335,sitka,84,US,1577132792,23,37.17,-99.65,64.76,11.34
336,mogadishu,0,SO,1577132640,80,2.04,45.34,80.44,20.83
337,port lincoln,58,AU,1577132792,63,-34.72,135.86,66.81,4.56
338,oranjemund,7,ZA,1577132792,95,-28.55,16.43,58.48,5.41
339,iquique,100,CL,1577132792,60,-20.22,-70.14,71.6,11.41
340,komsomolskiy,98,RU,1577132792,99,67.55,63.78,-17.3,5.46
341,yulara,0,AU,1577132792,16,-25.24,130.99,75.2,7.85
342,ust-nera,100,RU,1577132792,95,64.57,143.24,-33.56,5.01
343,navahrudak,100,BY,1577132792,98,53.59,25.82,40.41,8.14
344,ambon,90,FR,1577132793,93,47.55,-2.56,55.99,14.99
345,parambu,97,BR,1577132793,30,-6.21,-40.7,90.54,9.15
346,longyearbyen,75,NO,1577132793,68,78.22,15.63,28.4,5.82
347,mbanza-ngungu,100,CD,1577132793,90,-5.25,14.87,71.51,1.19
348,tromso,90,NO,1577132557,95,69.65,18.96,32.0,16.11
349,egvekinot,2,RU,1577132793,94,66.32,-179.17,-7.47,10.38
350,nola,13,CF,1577132793,38,3.52,16.05,74.8,0.96
351,novikovo,95,RU,1577132793,89,51.15,37.89,37.58,10.69
352,vila franca do campo,75,PT,1577132793,72,37.72,-25.43,60.8,4.7
353,mayumba,100,GA,1577132793,82,-3.44,10.65,81.81,5.03
354,comodoro rivadavia,75,AR,1577132626,34,-45.87,-67.48,68.0,16.11
355,catalina,75,PE,1577132793,30,-13.57,-76.13,72.0,18.34
356,steinkjer,40,NO,1577132793,92,64.02,11.49,41.0,5.82
357,ouesso,1,CG,1577132793,59,1.61,16.05,77.86,3.15
358,santa fe,0,AR,1577132731,35,-31.62,-60.7,88.0,3.0
359,saint-louis,0,SN,1577132793,44,16.03,-16.5,78.8,6.93
360,yara,91,CU,1577132794,58,20.27,-76.95,83.84,9.06
361,farafangana,2,MG,1577132794,80,-22.82,47.83,79.09,15.57
362,semporna,75,MY,1577132794,100,4.48,118.61,75.2,2.24
363,ariquemes,61,BR,1577132794,83,-9.91,-63.03,82.76,3.09
364,pokhara,1,NP,1577132794,89,28.21,83.99,45.77,1.61
365,tongren,100,CN,1577132794,92,27.72,109.18,40.05,3.65
366,phan thiet,99,VN,1577132794,90,10.93,108.1,68.18,2.3
367,matay,0,EG,1577132794,41,28.42,30.79,54.03,8.34
368,leningradskiy,100,RU,1577132794,96,69.38,178.42,-12.17,15.28
369,prince rupert,90,CA,1577132794,86,54.32,-130.32,39.2,16.11
370,petropavlovsk-kamchatskiy,0,RU,1577132794,70,53.05,158.65,-4.0,11.18
371,crixas,24,BR,1577132794,66,-14.55,-49.97,86.34,0.92
372,raudeberg,98,NO,1577132794,62,61.99,5.14,37.4,8.05
373,goderich,69,CA,1577132794,80,43.74,-81.71,48.0,13.0
